ffim,,,,au-ke-wa,,,,,,ΑυγέFαν (Αυγεύς),,,,,,,,Augevan (Augeus),,,,,personal name,
+,,,,au-ro,,,,,,αυλοί (αυλός),,,,,,,,aulos (aulos),,,,,pipe (> musical instrument),
w,,,,au-ta2,,,,,,Αυτίας,,,,,,,,Autias,,,,,personal name,
Ί12ffilF,,,,"a-we-ke-se-u/
a-we-ke-se-we",,,,,,ΑFειξεύς,,,,,,,,Afeixeus,,,,,personal name,
iΕΘΤvΊ,,,,"a2-ka-a2-ki-ri-
JO",,,,,,(a2-ka-a2) + άγριος,,,,,,,,"(a2-ka-a2)
+ agrios",,,,,ethnic/place name (>αγρός= field),
i-Wlffi,,,,a2-ro-u-do-pi,,,,,,hαλοσύδωρφι,,,,,,,,halosydorphi,,,,,"aquamanne (gem)/with wave- like patterns
(άλς= sea+ ύδωρ= water)",
ί Β=Ι=,,,,a2-ru-wo-te,,,,,,"ΗαρύFοθεν
(>Χάρυβδος;)",,,,,,,,"Haryvothen
(>Haryvdos ?)",,,,,place name,
i=I=+,,,,a2-te-ro,,,,,,hάτερος (>έτερος),,,,,,,,hateros (>eteros),,,,,other,
,,,,,,,,,,,,,,,,,,,,,,,,
fΊχ,,,,da-da-re-jo-de,,,,,,Δαδαλείονδε (Δαδαλείον),,,,,,,,Dadaleionde (Dadaleion),,,,,place name/ sanctuary,
Ψ-Υ-C,,,,da-i-qo-ta,,,,,,Δαιπόντας,,,,,,,,Daipontas,,,,,personal name,
Ψ[1+,,,,da-i-ta-ra-ro,,,,,,Δαίτραρος,,,,,,,,Daitraros,,,,,personal name,
ο+,,,,da-ja-ro,,,,,,Δαίαρος,,,,,,,,Daiaros,,,,,personal name,
αι+,,,,da-ma-te,,,,,,Δάματερ,,,,,,,,Damater,,,,,goddess' s name (>Demeter),
αι+,,,,da-ma-te/ du-ma-te,,,,,,δάματες/ δύματες,,,,,,,,damates/ dymates,,,,,related to 'damos' (family groups?),
VΥΊ,,,,da-mi-ni-jo,,,,,,Δάμνιος,,,,,,,,Damnios,,,,,ethnic name of 'Damnos',
Ξ)(,,,,da-mo,,,,,,δάμος (>δήμος),,,,,,,,damos (>deimos),,,,,municipality,
Ξ}rcr+,,,,da-mo-ko-ro,,,,,,δάμοκλος,,,,,,,,damoklos,,,,,official title,
ΨίΊ,,,,da-pu 2-ri-to- (j)o,,,,,,δαφυρίνθοιο (>λαβύρινθος),,,,,,,,daphurinthoio (>lavyrinthos),,,,,(of the) labyrinth,
+,,,,da-ro,,,,,,Δάρων,,,,,,,,Daron,,,,,personal name,
HJJ+,,,,da-ta-ja-ro,,,,,,Δαταίαρος,,,,,,,,Dataiaros,,,,,personal name,
,,,,da-wi-ja/ da-wi-jo,,,,,,ΔαFία/ ΔάFιος,,,,,,,,Davia/Davios,,,,,ethnic name of 'Dafos/Dafοη',
zrm,,,,da-we-u-pi/ da-wo,,,,,,ΔαFεύφι/ ΔάFος/ΔάFων,,,,,,,,Daveuphi Dafos/Dafon,,,,,place name,
χ,,,,-de,,,,,,-δε,,,,,,,,-de,,,,,"not, οη the other side",
χ,,,,-de,,,,,,-δε,,,,,,,,-de,,,,,allative/ demonstrative,
XXis,,,,de-de-me-no,,,,,,δεδεμένος,,,,,,,,dedemenos,,,,,bound,
χ ο,,,,de-di-ku-ja,,,,,,δεδικύια (>διδάσκω),,,,,,,,dedikyia (>didasko),,,,,"being apprenticing (see also
'didaskalei')",
χlίϊ,,,,de-do-me-na,,,,,,δεδομένα (δίδωμι>δίδω),,,,,,,,dedomena (didomi>dido),,,,,(things) being offered,
χΕΘΥί,,,,de-ka-sa-to,,,,,,δέξατο (δέχομαι),,,,,,,,deksato dexomai,,,,,to be accepted,
χΨΒCΨ,,,,de-ku-tu-wo- ko,,,,,,δεκτυFοργός,,,,,,,,dektyvorgos,,,,,maker of nets,
xiu+,,,,de-me-o-te,,,,,,δεμέοντες (δέμω),,,,,,,,demeontes (demo),,,,,they who build,
χVΥΊ1,,,,de-mi-ni-a,,,,,,δέμνια,,,,,,,,demnia,,,,,bedsteads,
";.ΔΙ-U-UU
)\ Τ Λ 1",,,,de-qo-no,,,,,,δείπνον,,,,,,,,deipnon,,,,,"dinner, meal",
χf ίCΨ,,,,de-re-u-ko,,,,,,δλεύκος,,,,,,,,dleukos,,,,,must (of wine),
χf=(Ξ}(,,,,de-so-mo,,,,,,δεσμοίς (δεσμός),,,,,,,,desmois (desmos),,,,,(with) straps,
χίΕ9Ί,,,,de-u-ka-ri-jo,,,,,,Δευκαλίων,,,,,,,,Deukalion,,,,,personal name,
rxrm,,,,de-u-ki-jo-jo,,,,,,Δευκίοιο (Δεύκιος),,,,,,,,Deukioio (Deukios),,,,,month name,
χΖ+Ί\ Ψο,,,,de-we-ro-ai- ko-ra-i-ja,,,,,,δεFροαιχωραίαι (='ενδο-χώρα'),,,,,,,,devroaihoraiai (='hither-lands '),,,,,place name (compare to 'peraiaihoraiai'),
Εθf,,,,di-da-ka-re,,,,,,διδασκάλει (διδάσκαλος),,,,,,,,didaskalei (didaskalos),,,,,"at the place of the practitioner
(see also 'dedikyia')",
E9Cx,,,,di-ka-ta-de,,,,,,Δίκτανδε (Δίκτα> Δίκτη),,,,,,,,Diktande (Dikta> Dikte),,,,,place name (mountain),
ΕΘu,,,,di-ka-ta-jo,,,,,,Δικταίος,,,,,,,,Diktaios,,,,,epithet of god Zeus,
cnro,,,,di-ko-na-re-ja,,,,,,Δικονάρεια,,,,,,,,Dikonareia,,,,,personal name (fem.),
